Site_ID,Date,Flowback_Volume_m3,Pressure_psi,Downtime_hrs,Operator
S04,2024-01-01,102.92,3029.7,2,DeltaOil
S01,2024-01-02,149.09,3127.8,4,BetaEnergy
S01,2024-01-03,126.95,3058.5,2,BetaEnergy
S04,2024-01-04,135.86,2979.3,0,BetaEnergy
S04,2024-01-05,135.56,2855.7,4,DeltaOil
S04,2024-01-06,130.08,3115.6,2,AlphaOps
S03,2024-01-07,121.65,3497.4,1,AlphaOps
S02,2024-01-08,112.78,3212.1,1,AlphaOps
S04,2024-01-09,126.2,2966.0,3,AlphaOps
S04,2024-01-10,120.11,2939.9,3,DeltaOil
S01,2024-01-11,137.72,2881.5,1,AlphaOps
S01,2024-01-12,154.56,3189.4,0,BetaEnergy
S01,2024-01-13,115.39,2576.0,5,DeltaOil
S04,2024-01-14,98.34,2977.0,2,BetaEnergy
S03,2024-01-15,103.32,3067.0,4,DeltaOil
S02,2024-01-16,107.31,3022.0,0,DeltaOil
S01,2024-01-17,106.44,2551.1,1,BetaEnergy
S03,2024-01-18,93.16,2596.9,1,AlphaOps
S04,2024-01-19,71.31,2860.7,5,AlphaOps
S04,2024-01-20,106.34,2879.0,4,AlphaOps
S04,2024-01-21,166.93,3037.9,0,DeltaOil
S03,2024-01-22,104.14,3066.6,1,DeltaOil
S04,2024-01-23,137.0,2897.4,4,BetaEnergy
S02,2024-01-24,146.95,2733.4,0,DeltaOil
S04,2024-01-25,102.64,2689.1,5,DeltaOil
S01,2024-01-26,139.32,3104.5,4,AlphaOps
S04,2024-01-27,99.54,3268.4,1,DeltaOil
S02,2024-01-28,116.37,2975.9,5,AlphaOps
S01,2024-01-29,114.09,2738.4,3,AlphaOps
S03,2024-01-30,82.27,2854.6,1,BetaEnergy
S04,2024-01-31,120.12,3284.8,2,DeltaOil
S03,2024-02-01,92.12,2704.0,3,BetaEnergy
S01,2024-02-02,109.47,3371.4,0,BetaEnergy
S03,2024-02-03,96.46,2772.8,1,DeltaOil
S03,2024-02-04,106.28,2922.3,3,DeltaOil
S02,2024-02-05,91.39,2598.3,2,DeltaOil
S03,2024-02-06,148.81,3025.1,2,DeltaOil
S02,2024-02-07,111.23,3053.8,1,BetaEnergy
S01,2024-02-08,112.56,3030.4,1,DeltaOil
S02,2024-02-09,141.15,3109.0,1,AlphaOps
S04,2024-02-10,103.71,2935.5,2,DeltaOil
