Well_ID,Flow_Rate_m3_day,Pressure_psi,Failure_Cause,Inspection_Date
WELL_1,92.17,2665.6,Reservoir,2024-11-03
WELL_2,110.71,2829.7,Mechanical,2024-11-10
WELL_3,91.19,2662.7,Unknown,2024-11-17
WELL_4,63.4,2742.4,Unknown,2024-11-24
WELL_5,94.79,2893.3,Mechanical,2024-12-01
WELL_6,95.15,1992.9,Mechanical,2024-12-08
WELL_7,68.13,2895.9,Unknown,2024-12-15
WELL_8,82.55,2470.8,Mechanical,2024-12-22
WELL_9,81.38,2752.6,Operational,2024-12-29
WELL_10,90.85,3127.7,Unknown,2025-01-05
WELL_11,69.05,2702.4,Reservoir,2025-01-12
WELL_12,91.4,2919.6,Unknown,2025-01-19
WELL_13,104.24,2643.0,Unknown,2025-01-26
WELL_14,106.89,3205.4,Operational,2025-02-02
WELL_15,105.68,3039.3,Operational,2025-02-09
WELL_16,73.5,2242.4,Mechanical,2025-02-16
WELL_17,69.61,2811.0,Unknown,2025-02-23
WELL_18,95.0,3526.6,Operational,2025-03-02
WELL_19,90.04,3091.4,Reservoir,2025-03-09
WELL_20,84.25,2652.8,Operational,2025-03-16
